sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,47,,良好,1.5,0.23,39.7,51.6,32,15,7,7.3,0.3,4.5,264,"2023/08/06 21:00:00",0.2,14.6,29,1,121.760056,25.129167,1
汐止,新北市,59,細懸浮微粒,普通,1.9,0.28,31.8,48,32,19,11.8,12.3,0.5,1.8,249,"2023/08/06 21:00:00",0.2,18.9,31,1,121.64081,25.06624,2
萬里,新北市,46,,良好,0.4,0.18,41.7,50.1,27,13,4.4,5.4,1,6.1,234,"2023/08/06 21:00:00",0.1,14,26,0,121.689881,25.179667,3
新店,新北市,47,,良好,0.8,0.23,37.6,48.6,34,14,8.5,9.2,0.6,2.4,311,"2023/08/06 21:00:00",0.2,14.5,30,0,121.537778,24.977222,4
土城,新北市,42,,良好,0,0.23,32.7,45.4,34,,8.6,9.3,0.6,1.8,216,"2023/08/06 21:00:00",0.2,,32,0,121.451861,24.982528,5
板橋,新北市,51,細懸浮微粒,普通,1.1,0.26,33.7,46,28,14,9,9.8,0.8,1.9,245,"2023/08/06 21:00:00",0.2,15.7,28,0,121.458667,25.012972,6
新莊,新北市,53,細懸浮微粒,普通,0.9,0.19,34.5,46.2,30,16,6.9,7.2,0.3,3.1,244,"2023/08/06 21:00:00",0.2,16.2,30,1,121.4325,25.037972,7
菜寮,新北市,53,細懸浮微粒,普通,2,0.23,33.5,46.8,31,12,9.5,10.3,0.7,1,301,"2023/08/06 21:00:00",0.2,16.5,28,1,121.481028,25.06895,8
林口,新北市,50,,良好,1.1,0.18,35.6,50.5,29,17,6.5,7.1,0.6,4.4,250,"2023/08/06 21:00:00",0.1,15.3,28,0,121.36548982,25.07798949,9
淡水,新北市,50,,良好,1.5,0.17,38.9,47.8,31,14,5.1,6,0.8,,,"2023/08/06 21:00:00",0.1,15.3,40,1,121.449239,25.1645,10
士林,臺北市,64,細懸浮微粒,普通,1.2,0.22,35.2,47,30,22,7.2,7.8,0.5,1.3,308,"2023/08/06 21:00:00",0.2,20.6,30,1,121.51666356,25.10334003,11
中山,臺北市,53,細懸浮微粒,普通,1.4,0.49,25.4,39.6,46,17,18.2,21.7,3.5,1.8,293,"2023/08/06 21:00:00",0.4,16.3,36,1,121.526528,25.062361,12
萬華,臺北市,58,細懸浮微粒,普通,1.2,0.43,29.3,44.9,30,19,13.6,14.1,0.5,1.8,269,"2023/08/06 21:00:00",0.4,18.5,30,0,121.507972,25.046503,13
古亭,臺北市,52,細懸浮微粒,普通,1.1,0.26,34.4,47,36,16,9.2,10,0.8,1.4,285,"2023/08/06 21:00:00",0.2,16,31,0,121.529556,25.020608,14
松山,臺北市,52,細懸浮微粒,普通,1.2,0.43,25.7,42.6,36,19,17,20.9,3.8,1.3,263,"2023/08/06 21:00:00",0.3,15.9,34,0,121.578611,25.05,15
大同,臺北市,62,細懸浮微粒,普通,1.5,0.65,25.5,36.3,35,19,18.7,23.4,4.6,-,-,"2023/08/06 21:00:00",0.7,19.8,34,1,121.51342074,25.06331455,16
桃園,桃園市,43,,良好,0.4,0.22,32.9,46.6,34,11,7,7.5,0.4,2.5,210,"2023/08/06 21:00:00",0.2,13,32,0,121.30500531,24.9947107,17
大園,桃園市,45,,良好,1.1,0.18,37.2,49.2,25,13,4,4.2,0.1,5.8,226,"2023/08/06 21:00:00",0.1,13.7,26,0,121.20251473,25.06100357,18
觀音,桃園市,44,,良好,0.8,0.13,34.8,43.4,37,14,2.2,2.7,0.4,6.6,231,"2023/08/06 21:00:00",0,13.5,32,0,121.08283092,25.03556747,19
平鎮,桃園市,46,,良好,1.1,0.19,31.5,43.5,32,12,6.7,7.7,1,3.1,257,"2023/08/06 21:00:00",0.1,14.1,31,0,121.203986,24.952786,20
龍潭,桃園市,49,,良好,0.9,0.18,32.9,45,27,11,6.1,7.2,1,5,300,"2023/08/06 21:00:00",0.2,15.2,28,0,121.21645772,24.86400048,21
湖口,新竹縣,43,,良好,1,0.14,33.2,44.8,46,17,4.4,4.5,0.1,5.1,230,"2023/08/06 21:00:00",0.1,13.1,33,0,121.03886894,24.90009696,22
竹東,新竹縣,45,,良好,0.4,0.18,34.5,41.4,23,13,5.4,5.6,0.2,2,224,"2023/08/06 21:00:00",0.1,14,21,0,121.08895493,24.74091408,23
